标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
电梯两房，户型布局合理，有独立客厅，看房方便,陈家宅小区(潍坊西路) ,2室1厅,71.11平米,南 西,18,1996,陆家嘴,550,77
张江南 品质小区 双南2+1户型 满五，诚意出售,印象春城 ,2室1厅,88.59平米,南,18,2011,周浦,500,56
6/9双地铁近公园三房边套 采光通风 中环边 近公园,金桥湾清水苑 ,3室2厅,82.25平米,南,6,1998,金桥,598,72
东方悦居 2室1厅 南,东方悦居 ,2室1厅,73.45平米,南,11,2008,杨思前滩,585,79
2014年电梯房   小区环境优美    双地铁,莲康苑 ,2室2厅,79.61平米,南,17,2014,北蔡,550,69
张江科学城、双子塔、改善户型！业主诚意售,香楠小区 ,3室1厅,73.69平米,南,6,1994,张江,515,69
张江东，二号线，唐镇国际化社区，低密度高品质房源,毕加索小镇(二期)(公寓) ,2室1厅,89.53平米,南 北,13,2011,唐镇,720,80
户型方正 近地铁 精装修  位置好,博一小区 ,3室2厅,80.97平米,南,6,1995,金桥,525,64
双南全明，一套房子.，美丽家园小区，环境好,罗山一村 ,2室1厅,84.6平米,南,6,1997,金杨,565,66
杨思前滩+诚意出售+2000年商品房+一梯两户板式户型,桃李家园 ,2室2厅,89.25平米,南,6,2000,杨思前滩,688,77
二手买入，满五年，税费少，中间楼层，双南户型,吉云公寓 ,2室1厅,77.62平米,南,6,1995,联洋,750,96
新上！此房一楼带花园+精装+采光好看房方便+厨卫全明,上泰花苑 ,2室2厅,75.82平米,南,6,1998,金杨,560,73
房龄新 靠地铁 自住精装 看房方便 诚意出售 楼层好,日月光水岸新郡 ,2室1厅,86.78平米,南,12,2016,张江,800,92
张江东商品房，税少，不靠路，带院子,保利金色唐城 ,2室2厅,81.86平米,南,6,2008,唐镇,510,62
近地铁＋全屋落地窗＋中环04年商品房＋南边无遮挡,绿川馨康苑 ,2室1厅,81.53平米,南,6,2004,北蔡,542,66
2017年次新房精装修+空关有钥匙+标杆小区三房,九龙仓兰廷 ,3室1厅,89.42平米,南,18,未知,周浦,666,74
满五唯，一，地铁口，公园旁，xx房,牡丹小区(浦东) ,2室1厅,73.34平米,南,6,1996,花木,650,88
张江南标杆作品+仁恒物业+纯人车分流+低总价+拎包入住,浦发仁恒珊瑚世纪 ,2室2厅,86.93平米,南,16,2022,康桥,700,80
通联苑安静两房，南北直通，近6/14号线，业主诚心出售,通联苑 ,2室2厅,89.35平米,南,6,2000,金杨,730,81
中间楼层，双南采光好，全明户型,新世纪花苑(三期)(浦东) ,2室1厅,77.74平米,南,6,2001,世博,695,89
此房一手动迁、南北户型、采光充足、交通便利,玉兰香苑二期C块 ,2室2厅,84.29平米,南,6,2009,张江,530,62
金桥03年商品房，不靠路，视野佳,金和佳园 ,2室2厅,86.74平米,南,6,2003,金桥,570,65
可以看迪士尼烟火的房子，你不心动吗  高区楼层,浦发罗兰翡丽 ,2室1厅,79.97平米,南,18,2017,唐镇,800,100
河景+急售+满五+金色中环+近商场+不靠路,杉林新月环林东路875弄 ,2室1厅,83.97平米,南 北,18,2006,三林,620,73
东城新村 2室1厅 南,东城新村 ,2室1厅,76.12平米,南,18,1999,杨东,600,78
税费少+位置好+采光佳+诚意出售+近13号地铁+南北通,川杨新苑(四期) ,2室2厅,89.28平米,南 北,14,2010,张江,568,63
0个税，税费少，两房朝南，户型方正，精装，看房随时,吉云公寓 ,3室2厅,77.62平米,南,6,1995,联洋,750,96
开发商精装统一装修 带车位 空调+地暖+新风诚心出售,世茂云图 ,3室2厅,85.07平米,东南 南,16,2017,康桥,615,72
中间位置两房，南北通透，中间楼层，采光充足,蝶恋园 ,2室2厅,85.85平米,南 北,6,2001,金杨,758,88
中间楼层 博兴路6号.线    近公园  模范二梯,金桥新村四街坊 ,3室1厅,75平米,南,6,1997,金桥,560,74
一手动迁+南北通户型好+采光好视野佳,玉兰香苑二期C块 ,2室1厅,84.2平米,南,6,2009,张江,550,65
中环内的电梯大两房，空间房型灵活，交通便利,德锦苑 ,2室2厅,86.7平米,南,18,2015,北蔡,540,62
前滩板块+杨思地铁口+12年房龄+电梯+低税费+方便看房,三杨新村二街坊 ,2室1厅,76.02平米,南,17,2012,杨思前滩,660,86
绿茵苑南北大两房，房东诚意出售，价格可以沟通,绿茵苑(浦东) ,2室1厅,83.63平米,南 北,6,1998,杨思前滩,518,61
前滩旁  精装电梯中层 商品房 11号线地铁 配套完善,杉林新月环林东路875弄 ,2室2厅,82.91平米,南,18,2006,三林,616,74
潍坊十村 3室1厅 南 北,潍坊十村 ,3室1厅,75.73平米,南 北,6,1985,潍坊,715,94
看江1室户，新装修，可拎包入住,金隆置地大厦 ,1室1厅,74平米,南,31,2003,梅园,710,95
前滩南三林+品质商品三房+税费低位置楼层佳,中海御景熙岸(公寓) ,3室2厅,89平米,南,20,2011,三林,630,70
诚意出售，高区视野好，采光好，位置好,金地未未来 ,3室2厅,86.63平米,南,15,2009,高行,799,92
精装修，南北通透，小区中间位置，业主已看好新房,永建路86弄 ,2室2厅,83.01平米,南 北,6,2002,金桥,518,62
金色中环，双轨地房铁，小区中间位置，低总价三房；,民星苑 ,3室2厅,74.78平米,南,6,1997,御桥,550,73
内环内 联洋国际社区总价低 原始3房现改成2房 精装修,锦绣小区 ,2室1厅,81.87平米,南 北,6,1996,联洋,800,97
新上急售 保利金爵 南北通两房 不靠路满五年且 唯 一,保利金爵公寓 ,2室1厅,89.06平米,南 北,11,2009,唐镇,608,68
格局好，中楼层，税少，视野宽阔，采光充足，配套齐全,黄山一村 ,2室1厅,71.07平米,南,6,1995,金杨,568,79
北滨江商场旁地铁口 品质福利分房 税费少 户型方正,海院小区 ,3室1厅,87.03平米,南,6,1988,梅园,646,74
中海御景熙岸(公寓) 3室2厅 南 北,中海御景熙岸(公寓) ,3室2厅,88.58平米,南 北,20,2011,三林,650,73
三林板块+2011年商品房+满五税少+看房方便,中海御景熙岸(公寓) ,2室2厅,87.16平米,南,20,2011,三林,558,64
满五 高得房率 急售好房 临前滩 交通便利 配套完善,东方悦居 ,2室1厅,71.92平米,南,6,2008,杨思前滩,528,73
安静位置高区视野开阔。19年精装修保养好,涵合园(公寓) ,1室1厅,72.58平米,南 北,14,2005,杨东,690,95
内环内双南两房，近地铁，满5v1税费低，诚意出售可谈,牡丹小区(浦东) ,2室1厅,73.34平米,南 北,6,1995,花木,580,79
凌高小区 2室1厅 西南,凌高小区 ,2室1厅,71.21平米,西南,24,1993,洋泾,520,73
此房满五年V1，精装三房，业主诚意出售。,陈家门小区 ,3室2厅,77.14平米,南,6,1987,梅园,699,90
中环50万精装修两房/中 央 空调＋地暖/落地窗采光好,日月光水岸花园（二期） ,2室2厅,73.71平米,南,13,2012,张江,666,90
前滩CBD+高品质商品房+高绿化+南北正通+精装修,恒大华城天地苑 ,2室2厅,89.69平米,南 北,6,2002,杨思前滩,750,83
内环旁电梯房  满五 住房 精装修 诚心出售,锦绣河山 ,2室1厅,73.84平米,南,25,1996,金杨,535,72
建华公寓 2室1厅 南 北,建华公寓 ,2室1厅,80.14平米,南 北,6,1996,花木,750,93
建平电梯诚意出售有电梯，精装修，满五年，建平单价低,梅园教师公寓 ,2室1厅,77.86平米,南,12,1987,梅园,695,89
印象春城 2室1厅 南,印象春城 ,2室1厅,88.2平米,南,18,2009,周浦,510,57
动迁三房，边套全明，中间楼层，配套齐全，双轨交汇,崮山小区四街坊 ,3室1厅,80.57平米,南,6,1997,洋泾,765,94
中间楼层，满五年户型正气，原始三居，诚意出售，可谈,河滨城市花园 ,3室1厅,87.46平米,南 北,6,2006,曹路,550,62
金色中环发展地块+不靠马路+户型方正+非顶楼,新里城和合苑 ,3室1厅,79.5平米,南,6,1999,杨思前滩,760,95
近地铁+有车位+小三房设计+位置好+边套都有窗,毕加索小镇(二期)(公寓) ,3室2厅,88.95平米,南,11,2011,唐镇,678,76
东陆新村五街坊 2室2厅 南,东陆新村五街坊 ,2室2厅,77.85平米,南,6,2003,金桥,568,72
一手动迁税费少，房型为南北，视野好，得房率高,新高苑(四期) ,2室2厅,83.97平米,南,11,2013,高行,500,59
云莲苑 南北户型 采光通透 楼层佳适合年轻人,云莲苑 ,2室2厅,82.2平米,南,7,1998,世博,600,72
纯商品房+中间楼层+带暖气精装修+户型方正采光好,绿川公寓 ,2室2厅,81.78平米,南,6,1998,北蔡,520,63
此房满五年 楼层好 采光视野佳 双南户型,环球广场 ,2室1厅,86.52平米,南,33,1996,梅园,630,72
杨思前滩+12年小区+南北直通户型+停车很方便+近地铁,三杨新村二街坊 ,2室2厅,75.74平米,南 北,17,2012,杨思前滩,680,89
户型方正，南北通通风好，楼层采光好，看房方便,东二小区 ,3室1厅,89.12平米,南,5,1997,金桥,585,65
2005年商品房，两房朝南带电梯，客厅带窗户，满五年,仙都绿苑 ,2室1厅,87.36平米,南,28,2005,金杨,570,65
陆家嘴 滨江板块 电梯三房业主诚心 可实地看房,滨康大楼 ,3室1厅,84平米,南 北,18,1995,陆家嘴,668,79
2年前50万精装修，全屋定制家具，未住过可拎包入住。,高弘家苑 ,2室2厅,88.8平米,南 北,15,2011,高行,759,85
品质小区＋优质物业；得房率高；业主诚意出售！,金地未未来 ,3室2厅,86.91平米,南,15,2009,高行,780,89
中冶尚城 2室2厅 南 北,中冶尚城 ,2室2厅,81.26平米,南 北,14,2010,高行,728,89
建平西 电梯双楠 满五税费少 近地铁 看房方便,浦东大道666号 ,2室1厅,79.81平米,南,12,1991,梅园,780,97
视野宽阔，采光充足，配套齐全，户型方正,新世纪花苑(二期)(浦东) ,2室1厅,77.17平米,南 北,6,1999,世博,535,69
小区中位置，户型好，低楼层，适合老年人，年轻人,临沂七村 ,3室1厅,78.11平米,南 北,6,1990,南码头,530,67
双子塔旁南北通户 型花园位置 精装二房双阳台 东边套,川杨新苑(三期) ,2室2厅,87.44平米,南,6,2010,张江,500,57
绿地新上两房 业主诚意出售 看房提前联系 无个税,绿地崴廉公寓 ,2室2厅,89.24平米,南,16,2009,高行,599,67
品质次新小区人车分流小区 Z 便 宜 的一套洋房,保利·首创丨颂 ,3室2厅,86.39平米,南,8,2020,康桥,650,75
南北通透，户型正气，满五税费低，看房方便,明天华城 ,2室1厅,88.96平米,南 北,14,2012,周浦,620,69
新上花园位置，近地铁9号线，业主诚心出售。南北三房,金桥湾清水苑 ,3室2厅,84.05平米,南 北,6,1998,金桥,580,69
世博板块：2000年商品房，双南2房，诚意出售,东丽苑 ,2室1厅,73.58平米,南,6,2000,世博,563,76
"自住精装修可拎包入住，满五年,看房随时，诚意出售",金杨公寓 ,2室1厅,87.11平米,南,24,1996,金杨,590,67
次新房，满五唯 一，有车位，开发商精装修，诚意出售,绿洲康城亲水湾(中央区) ,2室2厅,88.83平米,南,14,未知,御桥,590,66
临河一排 视野好 房型正 税各付 房东置换诚售,东陆新村五街坊 ,2室2厅,77.84平米,南,6,2003,金桥,590,75
建平、一手动迁，一梯两户、中间楼层、近地铁\不占用,黄山二村 ,2室1厅,79.76平米,南,6,1998,金杨,665,83
此房满五，精装修，拎包入住，交通便利,市政大楼 ,2室1厅,70.9平米,西南,18,1992,梅园,730,102
近前滩 一手动迁税费少 中间楼层 全明户型 南北两房,世华锦城 ,2室1厅,78.89平米,南,18,2007,杨思前滩,608,77
税费少，中间位置，宜居楼层，视野宽阔，采光充足,牡丹小区(浦东) ,2室1厅,73.34平米,南,6,1995,花木,650,88
金色中环规划+两个房间朝南+阁楼,新里城和合苑 ,3室1厅,77平米,南,6,1999,杨思前滩,669,86
齐二小区 2室1厅 南,齐二小区 ,2室1厅,77.48平米,南,24,1996,世博,575,74
商品房税费少+近地铁+配套齐+五年出一套+户型优质,环龙公寓 ,2室2厅,89.25平米,南,6,2002,北蔡,640,71
中间楼层，位置好，满五少税，出行方便，价格可谈。,黄山始信苑 ,2室1厅,75.32平米,南,6,1999,金杨,690,91
紫叶花园原始三房改2房，户型南北通透，采光通透,紫叶花园 ,3室1厅,81.51平米,南 北,6,1995,北蔡,520,63
小区中间位置，18号线地铁口100米，近龙阳路CBD,芳芯苑 ,2室1厅,81.85平米,南,6,1994,北蔡,510,62
阳光城市家园，精装修电梯两室两厅，业主诚意出售,阳光城市家园 ,2室2厅,81.31平米,南 北,17,2009,金桥,598,73
双子塔旁  南北通二房， 花园位置  高楼层、景观房,川杨新苑(三期) ,2室2厅,87.48平米,南,6,2010,张江,525,60
香樟苑南苑（海阳路1080弄） 3室1厅 南,香樟苑南苑（海阳路1080弄） ,3室1厅,80.08平米,南,6,1998,杨思前滩,520,64
楼层好 位置佳 小区环境好 双轨交通 精装修车位充足,双桥小区 ,2室2厅,76.17平米,南,6,2002,金桥,560,73
品质小区 南北小三房 次新小区 小区配套成熟,九龙仓兰廷 ,3室2厅,89.19平米,南,18,2017,周浦,670,75
拎包入住，中楼层视野开阔，采光好，南面没遮挡,绿地香颂(浦东)(公寓) ,2室1厅,86.67平米,南,16,2011,三林,609,70
全南户型，88平，额外附8平，精装修，满五税少,绿地香颂(浦东)(公寓) ,3室2厅,87.64平米,南 北,18,2011,三林,575,65
带院子+精装修+全明户型+空间大+位置好,玉兰香苑二期A块 ,3室2厅,84.81平米,南,6,1995,张江,535,63
诚意出售，双子塔下，三房，满五年，税费少，出行方便,春港丽园(公寓) ,3室1厅,86.27平米,南,6,2000,张江,515,59
精装带地暖，安静位置，无遮挡采光好，带天井,崮山小区三街坊 ,3室1厅,77.86平米,南 北,6,1997,洋泾,720,92
双轨交近地铁，电梯大一房，业主诚售，满五税少,地杰国际城E欧泊时光 ,1室2厅,79.06平米,南,26,2007,御桥,660,83
此房满五年，楼层好，无噪音，户型正气，采光好,东力新村 ,3室1厅,75.49平米,南 北,6,2003,高行,528,69
有阁楼，错层三房，南北通， 精装修 业主诚心出售,兴东名苑 ,3室2厅,85.61平米,南,6,2002,川沙,530,61
新上笋盘/6/9双轨/碧云2房/3楼/居家装修/满五年/诚售,碧云新天地(一期) ,2室2厅,79.35平米,南,6,2002,金桥,708,89
地铁轨交7/13线 近内环商场旁 花园洋房社区 南北通,大华锦绣华城(四街区) ,2室2厅,84平米,南 北,6,2010,北蔡,718,85
全明户型三室，满五年动迁产权，采光视野无遮挡,崮山小区四街坊 ,3室1厅,81.09平米,南,6,1997,洋泾,800,98
11+18号线双规地铁 户型方正 中建楼层 业主诚意出售,地杰国际城D街坊 ,2室2厅,84.8平米,南,27,2009,御桥,595,70
新上房源，动迁满五税费少，边套三房，值得拥有,东陆新村九街坊 ,3室1厅,83.25平米,南,6,1996,金桥,505,60
光鸿苑新上两房带花园18m² 南北户型 位置安静 税费少,光鸿苑 ,2室2厅,84.68平米,南,6,1998,南码头,739,87
满五年，格局通透，声音安静，看房方便，近地铁双轨,东方明珠国际公寓 ,2室1厅,84.02平米,南,26,2005,南码头,798,94
双南，户型正，采光好，满五税少,东方汇景苑 ,1室2厅,71.26平米,南,9,2003,塘桥,730,102
陆家嘴滴水涟岸一期 3室2厅 南 北,陆家嘴滴水涟岸一期 ,3室2厅,87.98平米,南 北,14,2020,临港新城,540,61
印象双南高楼层，采光好，税费少。,印象春城 ,2室2厅,88.37平米,南,18,2011,周浦,550,62
近张江 御桥 高层 一手动迁税费低,地杰国际城D街坊 ,2室1厅,80.96平米,南,18,2009,御桥,658,81
德平路地铁口的品质小区，海关福利分房税费少户型好,罗山八村 ,2室1厅,81.85平米,南,6,1996,金杨,540,65
此房满五年V一，买入价高，税费少，业主诚意出售,凤凰大厦 ,1室2厅,80.35平米,南,23,1998,碧云,770,95
4/6地铁口，低楼层/大面积/92年,文兰小区 ,2室2厅,71.11平米,西北,6,1992,塘桥,580,81
世纪公园500米+税费少+富荟广场旁+宜居楼层+方便看房,牡丹小区(浦东) ,2室1厅,73.34平米,南 北,6,1995,花木,680,92
高楼层，视野好，双阳台，凌高两房看江景、三件套,凌高小区 ,2室1厅,86.22平米,南,24,1995,洋泾,590,68
位置安静，业主诚售，业主承担税费！双轨交汇,御桥馨华苑 ,2室2厅,74.01平米,南,6,2004,御桥,580,78
南北通透，出行方便，满五唯Ⅰ，全明户型，适合一家人,羽北小区 ,2室1厅,71.42平米,南 北,7,1997,洋泾,669,93
在售大两房 高楼层 好视野 好采光 双南房间大,保利金爵公寓 ,2室2厅,87.02平米,南,14,2009,唐镇,545,62
满五年家庭仅一套，视野开阔，有阁楼使用面积多,明天华城 ,3室2厅,84.52平米,南,6,2011,周浦,545,64
近地铁6、12号线精装修小区中间位置近巨峰商城,伟业金锦苑三村 ,2室1厅,78.66平米,南,6,2004,金桥,530,67
满五年房东就一套精装修随时看房诚意出售南北直通,日月光水岸花园(一期) ,2室2厅,88.84平米,南,13,2010,张江,740,83
少有三房，全明户型，3年的自住精装修，中间楼层！,罗山三村 ,3室1厅,87.32平米,南,6,1996,金杨,593,67
张江科学城-南北两房-视野好-置换诚意出售-随时可以看,古桐二村 ,2室2厅,89.82平米,南,6,2002,张江,618,68
此房位于小区中间位置，比较安静，满五，税费少,绿洲康城亲水湾(中央区) ,2室1厅,74.85平米,南 北,18,2017,御桥,580,77
双南户型 采光充足 陆家嘴北滨江 260米步行滨江带,环球广场 ,2室1厅,85.25平米,南,33,1996,梅园,650,76
采光无遮挡，低总价，地铁12号线，看房方便，满5税少,东源名都 ,2室2厅,83.05平米,南,18,2007,高行,526,63
前滩南 商品房 1梯两户 南北通 6号线口 满5少税 诚售,凌兆佳苑 ,2室2厅,88.96平米,南 北,6,2001,三林,610,68
"一手动迁,南北一梯两户房型，看房提前约都可以安排",玉兰香苑二期C块 ,2室1厅,84.28平米,南,6,2009,张江,530,62
精装修自住的，楼层位置好，采光好，视野不错，通风好,新高苑(二期) ,2室2厅,87.05平米,南,11,2008,高行,555,63
双地铁，精装修，好楼层，户型方正诚意出售看房方便,陆家嘴滨江公馆 ,2室1厅,72.47平米,南,29,1994,洋泾,560,77
金桥新村四街坊 2室1厅 南,金桥新村四街坊 ,2室1厅,75.19平米,南,6,1997,金桥,580,77
新上双卫三居室低总价带露台无个税高原值增值税少边套,中新家园 ,3室1厅,85.06平米,东 南 北,6,1999,洋泾,799,93
小区中间位置视野开阔 临河户型正气  实用面积大,玉兰香苑二期C块 ,2室2厅,77.4平米,南 北,6,2009,张江,535,69
双轨交汇，闹中取静，户型方正无浪费，用心装修刚五年,金桥新城 ,2室2厅,88.4平米,南 北,6,2005,金桥,680,76
大两房，户型正气，房东诚意出售，小区安静位置,黄山始信苑 ,2室2厅,80.08平米,南,6,1999,金杨,780,97
带有阁楼，满五税费少，小区环境优美，,天鹅泉公寓 ,2室2厅,87.81平米,南,4,2009,外高桥,535,60
近地铁，满五年，户型好，精装修，无户口，诚意出售,绿波家园 ,3室1厅,81.66平米,南,32,2012,三林,515,63
三开间朝南，视野采光好，配套好,滨康大楼 ,2室1厅,77.03平米,南,18,1995,陆家嘴,679,88
m五v1买进高，中间楼层＋精装修，小区花园位置,伟业金锦苑二村 ,2室1厅,78.64平米,南,6,2003,金桥,535,68
此房户型方正南北通，房东诚意出售满五买进高，税费少,毕加索小镇(二期)(公寓) ,2室1厅,89.53平米,南 北,13,2011,唐镇,735,82
金色中环+双轨交汇（11号，18号线御桥站）+中间楼层,地杰国际城D街坊 ,2室2厅,80.96平米,南,18,2009,御桥,660,81
精装修，诚意出售，户型方正、南北户型、前后无遮挡,金顺小区 ,3室2厅,88.96平米,南,6,1994,北蔡,520,58
满五无房 视野开阔 南北户型 世界水域公园 双轨,联鑫坊 ,3室2厅,89.26平米,南,6,1998,金桥,538,60
此房满五年，小区中间精装修拎包住,新高苑(三期) ,2室2厅,83.68平米,南 北,6,2011,高行,520,62
近公园地铁+不靠路+中间楼层+装修保养好+采光视野好,金泽苑 ,2室2厅,77.56平米,南,6,1999,金桥,550,70
11月主推，金色中环，低总价，高区两居室，价格可谈,地杰国际城D街坊 ,2室2厅,84.8平米,南,27,2009,御桥,599,70
满五不W一，地铁近8号线杨思地铁站，中环以内,申江豪城 ,2室2厅,75.19平米,南,7,2004,杨思前滩,655,87
电梯二楼  M5V1  近地铁  配套齐全,海尚新纪园 ,2室2厅,86.77平米,南,11,2014,三林,788,90
双南大两居，全明户型，非底楼，满五年，位置安静！,张杨南苑 ,2室1厅,72.21平米,南,6,1998,洋泾,708,98
7号线地铁口200米+龙阳CBD+全明边套3房+满五年税费少,新花苑 ,3室1厅,83平米,南,5,1995,北蔡,540,65
05年 交通便利 户型方正 配套齐全 环境好 管理规范,益丰新村 ,2室2厅,76.57平米,南 北,6,2005,张江,508,66
小三房，总价低，交通方便，配套成熟生活方便,民星苑 ,3室2厅,76.79平米,南,6,1997,御桥,580,75
钻石金4楼     靠河风景好   装修好,广洋苑 ,2室1厅,75.91平米,南 北,6,2002,金杨,791,104
高楼层视野好，自住装修，拎包入住，业主诚意,云莲苑 ,2室2厅,82.32平米,南,7,1998,世博,508,61
新上精装修双南全明两房，双轨交通，环境好配套齐全！,东陆新村五街坊 ,2室1厅,71.24平米,南,6,2003,金桥,565,79
前滩南 精装修板式 全朝南 大两房 生活方便,杉林新月环林东路875弄 ,2室2厅,84.45平米,南,18,2006,三林,599,70
世博板块 6/7/13号线三轨道 户型方正 税费少,轻工六里小区 ,2室1厅,71.33平米,南,6,1996,世博,542,75
地铁11号线，近前滩，采光好，看房随时,金桂苑(浦东) ,2室2厅,87.61平米,东南,6,1999,三林,520,59
交通医疗方便，全明采光好，房东诚意，楼层好,金浜小区 ,2室1厅,71.41平米,南,6,1994,金杨,535,74
品质好房 满五w e i一 好位置 可贷满 有车位,印象春城 ,2室2厅,88.59平米,南,18,2011,周浦,515,58
三林板块+地铁11号线+精装修+业主诚售+看房方便。,金谊河畔 ,2室1厅,79.04平米,南 北,18,2009,三林,660,83
满五年明显一套+买进价高+税费少+双轨旁,陆家嘴滨江公馆 ,2室1厅,76.4平米,南,29,1994,洋泾,660,86
双桥双天井花园好房，老人，喜爱花园的客户的选择,双桥小区 ,2室2厅,76.17平米,南,6,2002,金桥,580,76
内环内+世纪公园+二号线+双南边套+采光充足,牡丹小区(浦东) ,2室1厅,71.24平米,南,6,1997,花木,620,87
98年商品房，单价仅8万，全明户型，无个税，一梯两户,黄山二村 ,2室2厅,82.12平米,南,6,1998,金杨,660,80
买进价格高，税费低，诚意出售，带大天井，位置安静！,崮山小区二街坊 ,3室1厅,82.06平米,南,6,1999,洋泾,720,87
内中环电梯两房一厅世博区域地铁7号线云台50米,上南大厦 ,2室1厅,80.84平米,东,24,1998,世博,520,64
动迁满五，伟业三楼，一梯两户，全明户型。,伟业金锦苑一村 ,2室2厅,86.22平米,南 北,6,2003,金桥,588,68
金和佳园2003年商品房，带院子，不靠路，近地铁9号线,金和佳园 ,2室2厅,88.9平米,南,6,2003,金桥,680,76
40万精装 税少 急卖  运营总推荐,金舟苑 ,2室2厅,82.53平米,南,6,2002,金桥,549,66
张江南，品质商品房，三轨交汇，配套成熟，两房朝南,印象春城 ,2室1厅,87.9平米,南,18,2009,周浦,520,59
低单价两房中间楼层自住装修居住舒适不拥挤,陈家门小区 ,3室1厅,77.03平米,南 北,6,1987,梅园,700,90
内环内 黄浦江边，两房一厅，采光好，安静，宜居,微山三村 ,2室1厅,75.9平米,南,6,1995,塘桥,620,81
户型全明，采光好，满五，户型方正得房率高，诚意出售,微山新村 ,2室1厅,70.03平米,南,6,1985,塘桥,500,71
位置安静，楼层佳，前排无遮挡采光好,锦绣小区 ,3室1厅,81.09平米,南,6,1996,联洋,790,97
繁华地段，房型正气，闹中取静，刚需好房,地杰国际城D街坊 ,2室1厅,80.96平米,南,18,2009,御桥,640,79
此房满五年税少，一梯二户全明户型总计低的三房,罗山三村 ,3室1厅,78.62平米,南,6,1994,金杨,500,63
金色中环带，商品动迁小区，无增值税，高区电梯两房,颐盛云锦苑 ,2室2厅,74.07平米,南,17,2017,御桥,535,72
哪里找得到建平西旁的精致单身公寓？,东晶国际公寓 ,1室2厅,73.04平米,南,28,2006,梅园,730,99
70年住宅商品房，地铁双轨交，内环内低总价，领包入住,兴业嘉园 ,2室1厅,79.83平米,南,17,2003,潍坊,530,66
电梯3房一改两房两房精装拎包入住+业主诚心+视野开阔,博山小区 ,2室2厅,87.03平米,东南,25,1990,洋泾,550,63
全明户型一梯两户，近地铁花园位置税费少,上泰花苑 ,2室1厅,80.01平米,南 北,6,1998,金杨,535,66
三林金禾+中房开发+地铁口双南两房+精装修,金禾新苑 ,2室1厅,72平米,南,11,2006,三林,568,78
精装修双南两房，生活空间大，户型正气，靠河位置,始信北苑 ,2室2厅,83.41平米,东,6,2003,金杨,789,94
黄浦江畔+电梯高层+精装三房+随时可看,茂兴大厦 ,3室1厅,89.39平米,北 南 东,24,1995,塘桥,650,72
金色中环+南北户型+满五免个税+方便看房,三林世博家园(大道站路94弄) ,2室2厅,87.74平米,南 北,11,2006,杨思前滩,528,60
笋盘推荐 模范小区 房型正气敞亮 中间位置 近地铁,金桥新村四街坊 ,3室1厅,85.01平米,南,6,1997,金桥,620,72
一手动迁，税费少，南北通，看房随时,和合新村 ,3室1厅,72.73平米,北 南,6,2006,御桥,505,69
双桥小区 2室1厅 东 东南,双桥小区 ,2室1厅,73.02平米,东 东南,6,1998,金桥,540,73
房子南北2房，带阁楼！动迁税少！房东诚售！价可谈！,高行家园 ,2室2厅,78.66平米,南,6,2009,高行,560,71
满五少税，位置安静，南北户型，一梯两户，诚心出售,黄山一村 ,3室1厅,82.69平米,南,6,1995,金杨,750,90
始信苑南北大二房+大落地窗+采光好通风精装修+无个税,始信北苑 ,2室2厅,79.25平米,南,6,2003,金杨,800,100
电梯房，方正户型，房东诚意出售,海光大楼 ,2室1厅,70.87平米,南,18,1990,洋泾,566,79
品质小区 双南2+1户型 精装修 高区,印象春城 ,2室2厅,88.59平米,南,18,2011,周浦,525,59
满五年，近地铁，位置好，带花园,巨峰家苑(公寓) ,2室2厅,81.47平米,南,6,2005,金桥,560,68
内环内 黄浦江边，两房一厅，采光好，安静，宜居,微山三村 ,2室1厅,75.9平米,南,6,1995,塘桥,630,83
南北直通2房，方正户型，19号线在建！,光鸿苑 ,2室2厅,89.49平米,南 北,6,2002,南码头,788,88
前滩辐射+高楼层+满五+央企品质+11年纯商品房,保利林语溪(公寓) ,2室2厅,89.66平米,南,18,2011,三林,619,69
小区央位 税少 近地铁 高素质住户,南杨花园 ,2室2厅,82.1平米,南,6,1997,北蔡,537,65
中间楼层，南北边套两房，税费低，视野采光棒！,金樟花苑 ,2室1厅,70.74平米,南,6,1994,金杨,528,74
张江南 三轨交汇 满五年 税费少 总价低 南北通 无遮挡,印象春城 ,2室2厅,88.02平米,南 北,15,2011,周浦,510,57
你们有见过这样的价格吗，发挥你的想象,牡丹小区(浦东) ,2室1厅,73.34平米,南,6,1995,花木,598,81
一梯两户，两南一北，罗山板块小区环境没有之一,罗山一村 ,3室1厅,79.05平米,南,6,1993,金杨,520,65
急售好房！飞机户型+阁楼+精装修ZY空调地暖+诚意卖,新里城和合苑 ,2室2厅,74.47平米,南,6,1999,杨思前滩,685,91
临沂大楼 2室1厅 东南,临沂大楼 ,2室1厅,77.83平米,东南,25,1992,南码头,599,76
精装修带地暖 看房有钥匙 采光充足 此小区近地铁,博学家园 ,2室1厅,70.64平米,南,6,2010,杨思前滩,549,77
此房满五年上海家庭一套住房，带20多平花园院子,保利金爵公寓 ,2室1厅,71.36平米,南,14,2009,唐镇,500,70
高楼层精装两房，满五年税费少，诚意出售!,毕加索小镇(一期)(公寓) ,2室2厅,83.45平米,南,8,2010,唐镇,600,71
"地铁口，商品房，户型好，一梯2户，不靠路,等电梯施工",上泰花苑 ,2室1厅,84.15平米,南,6,1998,金杨,620,73
